# AV Training Trials
# Session started: 2026-05-31T08:55:37.3987800-04:00
# Unity: 6000.2.8f1
# Device: Oculus Quest 2 / Android OS 14 / API-34 (UP1A.231005.007.A1/52175280028600150)
# Scene: AVTrainingSession1Pilot
timestamp_ms,session_index,block_index,trial_index,eccentricity_deg,hemifield,contrast_logcs,stimulus_onset_ms,audio_onset_ms,response_onset_ms,rt_ms,hit,av_delta_ms,trial_type,is_control_trial,counts_for_rehab_dose
26886,1,1,1,-5.00,left,0.000,26566,26566,26886,320,1,0.00,rehab,0,1
29768,1,1,2,-5.00,left,0.000,29309,29309,29768,459,1,0.00,rehab,0,1
32024,1,1,3,-5.00,left,0.150,31202,31202,32024,821,1,0.00,rehab,0,1
35143,1,1,4,-5.00,left,0.150,34516,34516,35143,627,1,0.00,rehab,0,1
37273,1,1,5,-8.00,left,0.300,36967,36967,37273,306,1,0.00,rehab,0,1
39487,1,1,6,5.00,right,0.300,39055,39055,39487,432,1,0.00,right_control,1,0
41478,1,1,7,-8.00,left,0.300,40726,40726,41478,752,1,0.00,rehab,0,1
43497,1,1,8,-5.00,left,0.450,43079,43079,43497,418,1,0.00,rehab,0,1
46198,1,1,9,-5.00,left,0.450,45780,45780,46198,418,1,0.00,rehab,0,1
47925,1,1,10,-5.00,left,0.600,47576,47576,47925,348,1,0.00,rehab,0,1
50640,1,1,11,-5.00,left,0.600,49832,49832,50640,808,1,0.00,rehab,0,1
52700,1,1,12,-8.00,left,0.750,52171,52171,52700,529,1,0.00,rehab,0,1
54399,1,1,13,-5.00,left,0.750,54051,54051,54399,348,1,0.00,rehab,0,1
57086,1,1,14,-5.00,left,0.900,56655,56655,57086,432,1,0.00,rehab,0,1
59425,1,1,15,5.00,right,0.900,59035,59035,59425,390,1,0.00,right_control,1,0
61277,1,1,16,-5.00,left,0.900,60762,60762,61277,515,1,0.00,rehab,0,1
64744,1,1,17,-8.00,left,1.050,63240,63240,-1,-1,0,0.00,rehab,0,1
67376,1,1,18,-5.00,left,0.900,66749,66749,67376,627,1,0.00,rehab,0,1
69297,1,1,19,5.00,right,0.900,68879,68879,69297,418,1,0.00,right_control,1,0
72249,1,1,20,-5.00,left,0.900,71789,71789,72249,459,1,0.00,rehab,0,1
73947,1,1,21,-5.00,left,1.050,73627,73627,73947,320,1,0.00,rehab,0,1
77568,1,1,22,-8.00,left,1.050,76064,76064,-1,-1,0,0.00,rehab,0,1
80714,1,1,23,-8.00,left,0.900,79210,79210,-1,-1,0,0.00,rehab,0,1
83513,1,1,24,-8.00,left,0.750,82009,82009,-1,-1,0,0.00,rehab,0,1
86214,1,1,25,-5.00,left,0.600,85782,85782,86214,432,1,0.00,rehab,0,1
89013,1,1,26,-5.00,left,0.600,88665,88665,89013,348,1,0.00,rehab,0,1
90795,1,1,27,-5.00,left,0.750,90238,90238,90795,557,1,0.00,rehab,0,1
93677,1,1,28,-5.00,left,0.750,93273,93273,93677,404,1,0.00,rehab,0,1
97227,1,1,29,-8.00,left,0.900,95724,95724,-1,-1,0,0.00,rehab,0,1
100360,1,1,30,-8.00,left,0.750,98856,98856,-1,-1,0,0.00,rehab,0,1
102310,1,1,31,5.00,right,0.600,101948,101948,102310,362,1,0.00,right_control,1,0
105345,1,1,32,-5.00,left,0.600,103841,103841,-1,-1,0,0.00,rehab,0,1
107517,1,1,33,-5.00,left,0.450,106737,106737,107517,780,1,0.00,rehab,0,1
109870,1,1,34,-5.00,left,0.450,109508,109508,109870,362,1,0.00,rehab,0,1
111875,1,1,35,-5.00,left,0.600,111513,111513,111875,362,1,0.00,rehab,0,1
114270,1,1,36,8.00,right,0.600,113936,113936,114270,334,1,0.00,right_control,1,0
116971,1,1,37,-8.00,left,0.600,116372,116372,116971,599,1,0.00,rehab,0,1
119477,1,1,38,-8.00,left,0.750,119032,119032,119477,446,1,0.00,rehab,0,1
122318,1,1,39,-5.00,left,0.750,121886,121886,122318,432,1,0.00,rehab,0,1
126049,1,1,40,-8.00,left,0.900,124545,124545,-1,-1,0,0.00,rehab,0,1
127998,1,1,41,-5.00,left,0.750,127511,127511,127998,487,1,0.00,rehab,0,1
130560,1,1,42,-5.00,left,0.750,130226,130226,130560,334,1,0.00,rehab,0,1
132217,1,1,43,8.00,right,0.900,131799,131799,132217,418,1,0.00,right_control,1,0
136130,1,1,44,-8.00,left,0.900,134626,134626,-1,-1,0,0.00,rehab,0,1
139959,1,1,45,-8.00,left,0.750,138455,138455,-1,-1,0,0.00,rehab,0,1
142813,1,1,46,-8.00,left,0.600,141309,141309,-1,-1,0,0.00,rehab,0,1
145667,1,1,47,-8.00,left,0.450,144163,144163,-1,-1,0,0.00,rehab,0,1
149106,1,1,48,-8.00,left,0.300,147603,147603,-1,-1,0,0.00,rehab,0,1
151905,1,1,49,-8.00,left,0.150,150401,150401,-1,-1,0,0.00,rehab,0,1
154606,1,1,50,-8.00,left,0.000,154035,154035,154606,571,1,0.00,rehab,0,1
157015,1,1,51,-8.00,left,0.000,156611,156611,157015,404,1,0.00,rehab,0,1
159048,1,1,52,5.00,right,0.150,158727,158727,159048,320,1,0.00,right_control,1,0
161484,1,1,53,-8.00,left,0.150,160927,160927,161484,557,1,0.00,rehab,0,1
165063,1,1,54,-8.00,left,0.150,163559,163559,-1,-1,0,0.00,rehab,0,1
169059,1,1,55,-8.00,left,0.000,167555,167555,-1,-1,0,0.00,rehab,0,1
170771,1,1,56,-5.00,left,0.000,170367,170367,170771,404,1,0.00,rehab,0,1
173528,1,1,57,-8.00,left,0.000,172024,172024,-1,-1,0,0.00,rehab,0,1
175644,1,1,58,-5.00,left,0.000,175227,175227,175644,418,1,0.00,rehab,0,1
178916,1,1,59,-8.00,left,0.000,177413,177413,-1,-1,0,0.00,rehab,0,1
181339,1,1,60,-5.00,left,0.000,180907,180907,181339,432,1,0.00,rehab,0,1
184124,1,1,61,-8.00,left,0.000,182620,182620,-1,-1,0,0.00,rehab,0,1
186630,1,1,62,5.00,right,0.000,186282,186282,186630,348,1,0.00,right_control,1,0
189860,1,1,63,-8.00,left,0.000,188356,188356,-1,-1,0,0.00,rehab,0,1
192965,1,1,64,-8.00,left,0.000,191461,191461,-1,-1,0,0.00,rehab,0,1
196557,1,1,65,-8.00,left,0.000,195054,195054,-1,-1,0,0.00,rehab,0,1
200052,1,1,66,-8.00,left,0.000,198548,198548,-1,-1,0,0.00,rehab,0,1
203087,1,1,67,-5.00,left,0.000,201584,201584,-1,-1,0,0.00,rehab,0,1
205399,1,1,68,8.00,right,0.000,205009,205009,205399,390,1,0.00,right_control,1,0
207376,1,1,69,-5.00,left,0.000,206944,206944,207376,432,1,0.00,rehab,0,1
210745,1,1,70,-8.00,left,0.000,209242,209242,-1,-1,0,0.00,rehab,0,1
