timestamp_ms,tp10_alpha,tp10_beta,tp10_theta,engagement_score,threshold,head_yaw,head_pitch,left_gaze,reward_triggered,event
# Session started: 5/31/2026 8:55:10 AM
# Unity Version: 6000.2.8f1
# Scene: AVTrainingSession1Pilot
timestamp_ms,tp10_alpha,tp10_beta,tp10_theta,engagement_score,threshold,head_yaw,head_pitch,left_gaze,reward_triggered,event
14,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,session_start
125,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,baseline_start_AudioVisualTraining_ParadigmB
237,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
348,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
459,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
571,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
682,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
794,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
905,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
1016,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
1128,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
1239,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
1351,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
1462,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
1573,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
1685,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
1796,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
1908,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
2019,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
2130,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
2242,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
2353,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
2464,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
2576,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
2687,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
2799,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
2910,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
3021,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
3133,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
3244,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
3356,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
3467,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
3578,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
3690,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
3801,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
3912,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
4024,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
4135,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
4247,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
4358,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
4469,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
4581,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
4692,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
4804,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
4915,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
5026,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,baseline_end
5138,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,training_start_AudioVisualTraining_ParadigmB
5249,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,practice_start
5361,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
5472,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
5583,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
5695,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
5806,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
5917,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
6029,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
6140,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
6252,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
6363,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
6474,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
6586,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
6697,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
6809,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
6920,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
7031,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
7143,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
7254,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
7366,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
7477,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
7588,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
7700,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
7811,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
7922,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
8034,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
8145,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
8257,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
8368,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
8479,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
8591,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
8702,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
8814,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
8925,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
9036,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
9148,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
9259,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
9370,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
9482,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
9593,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
9705,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
9816,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
9927,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
10039,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
10150,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
10262,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
10373,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
10484,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
10596,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
10707,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
10819,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
10930,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
11041,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
11153,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
11264,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
11375,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
11487,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
11598,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
11710,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
11821,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
11932,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
12044,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
12155,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
12267,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,1,reward_triggered
12378,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,1,
12489,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,1,
12601,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,1,
12712,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,1,
12824,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,1,
12935,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
13046,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
13158,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
13269,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
13380,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
13492,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
13603,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
13715,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
13826,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
13937,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
14049,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
14160,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
14272,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
14383,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
14494,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
14606,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
14717,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
14828,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
14940,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
15051,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
15163,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
15274,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
15385,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
15497,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
15608,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
15720,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
15831,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
15942,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
16054,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
16165,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
16277,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
16388,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
16499,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
16611,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
16722,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
16833,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
16945,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
17056,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
17168,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
17279,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
17390,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
17502,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
17613,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
17725,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
17836,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,1,reward_triggered
17947,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,1,
18059,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,1,
18170,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,1,
18281,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,1,
18393,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,1,
18504,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
18616,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
18727,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
18838,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
18950,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
19061,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
19173,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
19284,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
19395,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
19507,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
19618,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
19730,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
19841,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
19952,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
20064,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
20175,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
20286,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
20398,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
20509,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,1,reward_triggered
20621,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,1,
20732,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,1,
20843,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,1,
20955,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,1,
21066,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,1,
21178,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,1,
21289,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
21400,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
21512,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
21623,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
21735,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
21846,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
21957,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
22069,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
22180,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
22291,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
22403,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
22514,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,1,reward_triggered
22626,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,1,
22737,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,1,
22848,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,1,
22960,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,1,
23071,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,1,
23183,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,1,
23294,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
23405,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
23517,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
23628,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
23739,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
23851,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
23962,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
24074,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
24185,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
24296,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
24408,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
24519,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
24631,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
24742,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
24853,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,1,reward_triggered
24965,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,1,practice_end
25076,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,1,block_1_start
25188,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,1,
25299,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,1,
25410,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,1,
25522,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,1,
25633,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
25744,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
25856,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
25967,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
26079,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
26190,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
26301,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
26413,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
26524,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
26636,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
26747,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
26858,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
26970,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,1,reward_triggered
27081,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,1,
27192,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,1,
27304,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,1,
