# AV Training Trials
# Session started: 2026-06-11T21:47:08.6096810-04:00
# Unity: 6000.2.8f1
# Device: Oculus Quest 2 / Android OS 14 / API-34 (UP1A.231005.007.A1/52175280031200150)
# Scene: AVTrainingSession1Pilot
timestamp_ms,session_index,block_index,trial_index,eccentricity_deg,hemifield,contrast_logcs,stimulus_onset_ms,audio_onset_ms,response_onset_ms,rt_ms,hit,av_delta_ms,trial_type,is_control_trial,counts_for_rehab_dose,horizontal_angle_deg,vertical_angle_deg
28463,1,1,1,-5.00,left,0.000,28047,28047,28463,417,1,0.00,rehab,0,1,-5.00,0.00
30532,1,1,2,-5.00,left,0.000,30143,30143,30532,389,1,0.00,rehab,0,1,-5.00,0.00
32129,1,1,3,-5.00,left,0.150,31768,31768,32129,361,1,0.00,rehab,0,1,-5.00,0.00
35642,1,1,4,-5.00,left,0.150,34128,34128,-1,-1,0,0.00,rehab,0,1,-5.00,0.00
37822,1,1,5,-5.00,left,0.000,37308,37308,37822,514,1,0.00,rehab,0,1,-5.00,0.00
40987,1,1,6,-5.00,left,0.000,40043,40043,40987,944,1,0.00,rehab,0,1,-5.00,0.00
43292,1,1,7,-5.00,left,0.150,42820,42820,43292,472,1,0.00,rehab,0,1,-5.00,0.00
45958,1,1,8,-5.00,left,0.150,45500,45500,45958,458,1,0.00,rehab,0,1,-5.00,0.00
47666,1,1,9,-5.00,left,0.300,47249,47249,47666,417,1,0.00,rehab,0,1,-5.00,0.00
49721,1,1,10,-5.00,left,0.300,49304,49304,49721,417,1,0.00,rehab,0,1,-5.00,0.00
52012,1,1,11,-5.00,left,0.450,51540,51540,52012,472,1,0.00,rehab,0,1,-5.00,0.00
54178,1,1,12,-5.00,left,0.450,53789,53789,54178,389,1,0.00,rehab,0,1,-5.00,0.00
56538,1,1,13,-5.00,left,0.600,56052,56052,56538,486,1,0.00,rehab,0,1,-5.00,0.00
58940,1,1,14,-5.00,left,0.600,58468,58468,58940,472,1,0.00,rehab,0,1,-5.00,0.00
61620,1,1,15,-5.00,left,0.750,61134,61134,61620,486,1,0.00,rehab,0,1,-5.00,0.00
64383,1,1,16,-5.00,left,0.750,64036,64036,64383,347,1,0.00,rehab,0,1,-5.00,0.00
66632,1,1,17,-5.00,left,0.900,66243,66243,66632,389,1,0.00,rehab,0,1,-5.00,0.00
68451,1,1,18,-5.00,left,0.900,68048,68048,68451,403,1,0.00,rehab,0,1,-5.00,0.00
71381,1,1,19,-5.00,left,1.050,70881,70881,71381,500,1,0.00,rehab,0,1,-5.00,0.00
73241,1,1,20,-5.00,left,1.050,72852,72852,73241,389,1,0.00,rehab,0,1,-5.00,0.00
76032,1,1,21,5.00,right,1.200,75629,75629,76032,403,1,0.00,right_control,1,0,5.00,0.00
80003,1,1,22,-5.00,left,1.200,78489,78489,-1,-1,0,0.00,rehab,0,1,-5.00,0.00
82322,1,1,23,-5.00,left,1.050,81836,81836,82322,486,1,0.00,rehab,0,1,-5.00,0.00
84849,1,1,24,-5.00,left,1.050,84446,84446,84849,403,1,0.00,rehab,0,1,-5.00,0.00
86848,1,1,25,-5.00,left,1.200,86293,86293,86848,555,1,0.00,rehab,0,1,-5.00,0.00
89208,1,1,26,8.00,right,1.200,88709,88709,89208,500,1,0.00,right_control,1,0,8.00,0.00
92527,1,1,27,-5.00,left,1.200,91013,91013,-1,-1,0,0.00,rehab,0,1,-5.00,0.00
94582,1,1,28,-5.00,left,1.050,94179,94179,94582,403,1,0.00,rehab,0,1,-5.00,0.00
96387,1,1,29,-5.00,left,1.050,95790,95790,96387,597,1,0.00,rehab,0,1,-5.00,0.00
98567,1,1,30,-5.00,left,1.200,97983,97983,98567,583,1,0.00,rehab,0,1,-5.00,0.00
101344,1,1,31,-5.00,left,1.200,100913,100913,101344,430,1,0.00,rehab,0,1,-5.00,0.00
103357,1,1,32,5.00,right,1.350,102940,102940,103357,417,1,0.00,right_control,1,0,5.00,0.00
105773,1,1,33,-5.00,left,1.350,105315,105315,105773,458,1,0.00,rehab,0,1,-5.00,0.00
107744,1,1,34,-5.00,left,1.350,107272,107272,107744,472,1,0.00,rehab,0,1,-5.00,0.00
110493,1,1,35,-5.00,left,1.500,110007,110007,110493,486,1,0.00,rehab,0,1,-5.00,0.00
112410,1,1,36,-5.00,left,1.500,111826,111826,112410,583,1,0.00,rehab,0,1,-5.00,0.00
114853,1,1,37,-5.00,left,1.650,114326,114326,114853,528,1,0.00,rehab,0,1,-5.00,0.00
117922,1,1,38,-5.00,left,1.650,117103,117103,117922,819,1,0.00,rehab,0,1,-5.00,0.00
119921,1,1,39,8.00,right,1.800,119421,119421,119921,500,1,0.00,right_control,1,0,8.00,0.00
122337,1,1,40,-5.00,left,1.800,121893,121893,122337,444,1,0.00,rehab,0,1,-5.00,0.00
124447,1,1,41,-5.00,left,1.800,123795,123795,124447,653,1,0.00,rehab,0,1,-5.00,0.00
127155,1,1,42,-5.00,left,1.950,126725,126725,127155,430,1,0.00,rehab,0,1,-5.00,0.00
128974,1,1,43,-5.00,left,1.950,128557,128557,128974,417,1,0.00,rehab,0,1,-5.00,0.00
131168,1,1,44,-5.00,left,2.100,130640,130640,131168,528,1,0.00,rehab,0,1,-5.00,0.00
133264,1,1,45,8.00,right,2.100,132848,132848,133264,417,1,0.00,right_control,1,0,8.00,0.00
135208,1,1,46,-5.00,left,2.100,134708,134708,135208,500,1,0.00,rehab,0,1,-5.00,0.00
137055,1,1,47,-5.00,left,2.250,136596,136596,137055,458,1,0.00,rehab,0,1,-5.00,0.00
139623,1,1,48,-5.00,left,2.250,139179,139179,139623,444,1,0.00,rehab,0,1,-5.00,0.00
141678,1,1,49,-5.00,left,2.400,140928,140928,141678,750,1,0.00,rehab,0,1,-5.00,0.00
144261,1,1,50,-5.00,left,2.400,143775,143775,144261,486,1,0.00,rehab,0,1,-5.00,0.00
146371,1,1,51,-5.00,left,2.550,145899,145899,146371,472,1,0.00,rehab,0,1,-5.00,0.00
148815,1,1,52,-5.00,left,2.550,148301,148301,148815,514,1,0.00,rehab,0,1,-5.00,0.00
151175,1,1,53,-5.00,left,2.700,150606,150606,151175,569,1,0.00,rehab,0,1,-5.00,0.00
153133,1,1,54,-5.00,left,2.700,152661,152661,153133,472,1,0.00,rehab,0,1,-5.00,0.00
154813,1,1,55,-5.00,left,2.850,154410,154410,154813,403,1,0.00,rehab,0,1,-5.00,0.00
157534,1,1,56,-5.00,left,2.850,157062,157062,157534,472,1,0.00,rehab,0,1,-5.00,0.00
160297,1,1,57,-5.00,left,3.000,159839,159839,160297,458,1,0.00,rehab,0,1,-5.00,0.00
163213,1,1,58,-5.00,left,3.000,162797,162797,163213,417,1,0.00,rehab,0,1,-5.00,0.00
165948,1,1,59,-5.00,left,3.150,165490,165490,165948,458,1,0.00,rehab,0,1,-5.00,0.00
168656,1,1,60,-5.00,left,3.150,168142,168142,168656,514,1,0.00,rehab,0,1,-5.00,0.00
