timestamp_ms,tp10_alpha,tp10_beta,tp10_theta,engagement_score,threshold,head_yaw,head_pitch,left_gaze,reward_triggered,event
# Session started: 6/11/2026 9:46:40 PM
# Unity Version: 6000.2.8f1
# Scene: AVTrainingSession1Pilot
timestamp_ms,tp10_alpha,tp10_beta,tp10_theta,engagement_score,threshold,head_yaw,head_pitch,left_gaze,reward_triggered,event
14,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,session_start
125,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,baseline_start_AudioVisualTraining_ParadigmB
236,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
347,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
458,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
569,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
680,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
791,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
902,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
1014,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
1125,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
1236,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
1347,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
1458,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
1569,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
1680,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
1791,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
1902,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
2013,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
2124,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
2235,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
2346,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
2458,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
2569,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
2680,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
2791,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
2902,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
3013,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
3124,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
3235,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
3346,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
3457,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
3568,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
3679,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
3790,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
3902,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
4013,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
4124,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
4235,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
4346,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
4457,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
4568,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
4679,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
4790,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
4901,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
5012,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
5123,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,baseline_end
5234,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,training_start_AudioVisualTraining_ParadigmB
5346,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,practice_start
5457,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
5568,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
5679,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
5790,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
5901,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0,0,
