# AV Training Trials
# Session started: 2026-05-31T09:33:25.9133690-04:00
# Unity: 6000.2.8f1
# Device: Oculus Quest 2 / Android OS 14 / API-34 (UP1A.231005.007.A1/52175280028600150)
# Scene: AVTrainingSession1Pilot
timestamp_ms,session_index,block_index,trial_index,eccentricity_deg,hemifield,contrast_logcs,stimulus_onset_ms,audio_onset_ms,response_onset_ms,rt_ms,hit,av_delta_ms,trial_type,is_control_trial,counts_for_rehab_dose
29727,1,1,1,-5.00,left,0.000,29309,29309,29727,418,1,0.00,rehab,0,1
32233,1,1,2,-5.00,left,0.000,31815,31815,32233,418,1,0.00,rehab,0,1
35240,1,1,3,-8.00,left,0.150,34739,34739,35240,501,1,0.00,rehab,0,1
38178,1,1,4,-5.00,left,0.150,37733,37733,38178,446,1,0.00,rehab,0,1
41645,1,1,5,-8.00,left,0.300,40141,40141,-1,-1,0,0.00,rehab,0,1
43859,1,1,6,-8.00,left,0.150,43469,43469,43859,390,1,0.00,rehab,0,1
46254,1,1,7,-5.00,left,0.150,45780,45780,46254,473,1,0.00,rehab,0,1
48314,1,1,8,-8.00,left,0.300,47674,47674,48314,640,1,0.00,rehab,0,1
50709,1,1,9,-5.00,left,0.300,50180,50180,50709,529,1,0.00,rehab,0,1
53814,1,1,10,-8.00,left,0.450,52310,52310,-1,-1,0,0.00,rehab,0,1
56710,1,1,11,-5.00,left,0.300,55986,55986,56710,724,1,0.00,rehab,0,1
59509,1,1,12,-5.00,left,0.300,59022,59022,59509,487,1,0.00,rehab,0,1
62864,1,1,13,-8.00,left,0.450,61361,61361,-1,-1,0,0.00,rehab,0,1
65928,1,1,14,-8.00,left,0.300,64424,64424,-1,-1,0,0.00,rehab,0,1
69798,1,1,15,-8.00,left,0.150,68295,68295,-1,-1,0,0.00,rehab,0,1
72124,1,1,16,-5.00,left,0.000,71748,71748,72124,376,1,0.00,rehab,0,1
75075,1,1,17,-8.00,left,0.000,73572,73572,-1,-1,0,0.00,rehab,0,1
78570,1,1,18,-8.00,left,0.000,77066,77066,-1,-1,0,0.00,rehab,0,1
82009,1,1,19,-8.00,left,0.000,80505,80505,-1,-1,0,0.00,rehab,0,1
83722,1,1,20,-5.00,left,0.000,83346,83346,83722,376,1,0.00,rehab,0,1
86660,1,1,21,5.00,right,0.000,85866,85866,86660,794,1,0.00,right_control,1,0
90405,1,1,22,-8.00,left,0.000,88901,88901,-1,-1,0,0.00,rehab,0,1
92215,1,1,23,-5.00,left,0.000,91714,91714,92215,501,1,0.00,rehab,0,1
94972,1,1,24,-5.00,left,0.000,94582,94582,94972,390,1,0.00,rehab,0,1
97325,1,1,25,8.00,right,0.150,96935,96935,97325,390,1,0.00,right_control,1,0
100388,1,1,26,-5.00,left,0.150,99789,99789,100388,599,1,0.00,rehab,0,1
102212,1,1,27,-5.00,left,0.150,101808,101808,102212,404,1,0.00,rehab,0,1
104342,1,1,28,-5.00,left,0.300,103939,103939,104342,404,1,0.00,rehab,0,1
106835,1,1,29,-5.00,left,0.300,106445,106445,106835,390,1,0.00,rehab,0,1
108840,1,1,30,8.00,right,0.450,108450,108450,108840,390,1,0.00,right_control,1,0
112543,1,1,31,-8.00,left,0.450,111040,111040,-1,-1,0,0.00,rehab,0,1
115439,1,1,32,-8.00,left,0.300,113936,113936,-1,-1,0,0.00,rehab,0,1
118085,1,1,33,-5.00,left,0.150,117598,117598,118085,487,1,0.00,rehab,0,1
120173,1,1,34,-5.00,left,0.150,119686,119686,120173,487,1,0.00,rehab,0,1
122067,1,1,35,-5.00,left,0.300,121719,121719,122067,348,1,0.00,rehab,0,1
125979,1,1,36,-8.00,left,0.300,124476,124476,-1,-1,0,0.00,rehab,0,1
128945,1,1,37,-8.00,left,0.150,127441,127441,-1,-1,0,0.00,rehab,0,1
131577,1,1,38,-5.00,left,0.000,131187,131187,131577,390,1,0.00,rehab,0,1
133373,1,1,39,-5.00,left,0.000,132913,132913,133373,459,1,0.00,rehab,0,1
135183,1,1,40,-5.00,left,0.150,134751,134751,135183,432,1,0.00,rehab,0,1
138817,1,1,41,-8.00,left,0.150,137313,137313,-1,-1,0,0.00,rehab,0,1
141796,1,1,42,-8.00,left,0.000,140293,140293,-1,-1,0,0.00,rehab,0,1
144525,1,1,43,-8.00,left,0.000,143022,143022,-1,-1,0,0.00,rehab,0,1
146711,1,1,44,-5.00,left,0.000,146308,146308,146711,404,1,0.00,rehab,0,1
149482,1,1,45,-8.00,left,0.000,147978,147978,-1,-1,0,0.00,rehab,0,1
151947,1,1,46,-5.00,left,0.000,151501,151501,151947,446,1,0.00,rehab,0,1
154411,1,1,47,-5.00,left,0.000,153896,153896,154411,515,1,0.00,rehab,0,1
157182,1,1,48,5.00,right,0.150,156820,156820,157182,362,1,0.00,right_control,1,0
161011,1,1,49,-8.00,left,0.150,159507,159507,-1,-1,0,0.00,rehab,0,1
164854,1,1,50,-8.00,left,0.000,163350,163350,-1,-1,0,0.00,rehab,0,1
167638,1,1,51,-8.00,left,0.000,166135,166135,-1,-1,0,0.00,rehab,0,1
170214,1,1,52,-5.00,left,0.000,169755,169755,170214,459,1,0.00,rehab,0,1
173194,1,1,53,-8.00,left,0.000,171690,171690,-1,-1,0,0.00,rehab,0,1
175992,1,1,54,-8.00,left,0.000,174489,174489,-1,-1,0,0.00,rehab,0,1
179905,1,1,55,-8.00,left,0.000,178401,178401,-1,-1,0,0.00,rehab,0,1
182885,1,1,56,-8.00,left,0.000,181381,181381,-1,-1,0,0.00,rehab,0,1
186129,1,1,57,-5.00,left,0.000,184625,184625,-1,-1,0,0.00,rehab,0,1
187869,1,1,58,5.00,right,0.000,187465,187465,187869,404,1,0.00,right_control,1,0
190682,1,1,59,-5.00,left,0.000,189178,189178,-1,-1,0,0.00,rehab,0,1
194622,1,1,60,-8.00,left,0.000,193118,193118,-1,-1,0,0.00,rehab,0,1
196557,1,1,61,-5.00,left,0.000,196098,196098,196557,459,1,0.00,rehab,0,1
199300,1,1,62,-8.00,left,0.000,197797,197797,-1,-1,0,0.00,rehab,0,1
202572,1,1,63,-8.00,left,0.000,201069,201069,-1,-1,0,0.00,rehab,0,1
206234,1,1,64,-8.00,left,0.000,204730,204730,-1,-1,0,0.00,rehab,0,1
208852,1,1,65,-5.00,left,0.000,208434,208434,208852,418,1,0.00,rehab,0,1
211344,1,1,66,-5.00,left,0.000,210857,210857,211344,487,1,0.00,rehab,0,1
214853,1,1,67,-8.00,left,0.150,213349,213349,-1,-1,0,0.00,rehab,0,1
217331,1,1,68,5.00,right,0.000,216913,216913,217331,418,1,0.00,right_control,1,0
220088,1,1,69,-5.00,left,0.000,218584,218584,-1,-1,0,0.00,rehab,0,1
223471,1,1,70,-5.00,left,0.000,221968,221968,-1,-1,0,0.00,rehab,0,1
226479,1,1,71,-8.00,left,0.000,224975,224975,-1,-1,0,0.00,rehab,0,1
228372,1,1,72,-5.00,left,0.000,227927,227927,228372,446,1,0.00,rehab,0,1
231004,1,1,73,-5.00,left,0.000,230294,230294,231004,710,1,0.00,rehab,0,1
234930,1,1,74,-8.00,left,0.150,233427,233427,-1,-1,0,0.00,rehab,0,1
237701,1,1,75,-5.00,left,0.000,237130,237130,237701,571,1,0.00,rehab,0,1
240555,1,1,76,-8.00,left,0.000,239052,239052,-1,-1,0,0.00,rehab,0,1
242686,1,1,77,-5.00,left,0.000,242226,242226,242686,459,1,0.00,rehab,0,1
246362,1,1,78,-8.00,left,0.000,244858,244858,-1,-1,0,0.00,rehab,0,1
248158,1,1,79,-5.00,left,0.000,247754,247754,248158,404,1,0.00,rehab,0,1
250218,1,1,80,-5.00,left,0.000,249578,249578,250218,640,1,0.00,rehab,0,1
253114,1,1,81,5.00,right,0.150,252683,252683,253114,432,1,0.00,right_control,1,0
255175,1,1,82,-5.00,left,0.150,254730,254730,255175,446,1,0.00,rehab,0,1
258740,1,1,83,-8.00,left,0.150,257236,257236,-1,-1,0,0.00,rehab,0,1
261566,1,1,84,-8.00,left,0.000,260062,260062,-1,-1,0,0.00,rehab,0,1
263989,1,1,85,-5.00,left,0.000,263585,263585,263989,404,1,0.00,rehab,0,1
266035,1,1,86,-5.00,left,0.000,265604,265604,266035,432,1,0.00,rehab,0,1
269085,1,1,87,-5.00,left,0.150,267581,267581,-1,-1,0,0.00,rehab,0,1
272997,1,1,88,-8.00,left,0.000,271493,271493,-1,-1,0,0.00,rehab,0,1
274765,1,1,89,-5.00,left,0.000,274320,274320,274765,446,1,0.00,rehab,0,1
276506,1,1,90,8.00,right,0.000,276060,276060,276506,446,1,0.00,right_control,1,0
278539,1,1,91,-5.00,left,0.000,277745,277745,278539,794,1,0.00,rehab,0,1
281421,1,1,92,-5.00,left,0.150,280975,280975,281421,446,1,0.00,rehab,0,1
284581,1,1,93,-8.00,left,0.150,283078,283078,-1,-1,0,0.00,rehab,0,1
287255,1,1,94,5.00,right,0.000,286907,286907,287255,348,1,0.00,right_control,1,0
289928,1,1,95,-5.00,left,0.000,289232,289232,289928,696,1,0.00,rehab,0,1
293130,1,1,96,-8.00,left,0.000,291627,291627,-1,-1,0,0.00,rehab,0,1
295999,1,1,97,-8.00,left,0.000,294495,294495,-1,-1,0,0.00,rehab,0,1
297823,1,1,98,-5.00,left,0.000,297307,297307,297823,515,1,0.00,rehab,0,1
301220,1,1,99,-8.00,left,0.000,299716,299716,-1,-1,0,0.00,rehab,0,1
304297,1,1,100,-5.00,left,0.000,303545,303545,304297,752,1,0.00,rehab,0,1
307653,1,1,101,-5.00,left,0.000,306775,306775,307653,877,1,0.00,rehab,0,1
310744,1,1,102,-8.00,left,0.150,309240,309240,-1,-1,0,0.00,rehab,0,1
313849,1,1,103,-5.00,left,0.000,313180,313180,313849,668,1,0.00,rehab,0,1
316591,1,1,104,-5.00,left,0.000,316021,316021,316591,571,1,0.00,rehab,0,1
318875,1,1,105,-5.00,left,0.150,318360,318360,318875,515,1,0.00,rehab,0,1
321701,1,1,106,-8.00,left,0.150,320198,320198,-1,-1,0,0.00,rehab,0,1
324723,1,1,107,-8.00,left,0.000,323219,323219,-1,-1,0,0.00,rehab,0,1
327201,1,1,108,-5.00,left,0.000,326811,326811,327201,390,1,0.00,rehab,0,1
329178,1,1,109,8.00,right,0.000,328593,328593,329178,585,1,0.00,right_control,1,0
332715,1,1,110,-8.00,left,0.000,331211,331211,-1,-1,0,0.00,rehab,0,1
334775,1,1,111,-8.00,left,0.000,334093,334093,334775,682,1,0.00,rehab,0,1
337894,1,1,112,-8.00,left,0.000,336391,336391,-1,-1,0,0.00,rehab,0,1
340749,1,1,113,-8.00,left,0.000,339245,339245,-1,-1,0,0.00,rehab,0,1
344717,1,1,114,-8.00,left,0.000,343213,343213,-1,-1,0,0.00,rehab,0,1
347418,1,1,115,8.00,right,0.000,347014,347014,347418,404,1,0.00,right_control,1,0
350941,1,1,116,-8.00,left,0.000,349437,349437,-1,-1,0,0.00,rehab,0,1
353837,1,1,117,-8.00,left,0.000,352333,352333,-1,-1,0,0.00,rehab,0,1
356037,1,1,118,-5.00,left,0.000,355340,355340,356037,696,1,0.00,rehab,0,1
359392,1,1,119,-5.00,left,0.000,358292,358292,359392,1100,1,0.00,rehab,0,1
361077,1,1,120,8.00,right,0.150,360687,360687,361077,390,1,0.00,right_control,1,0
364196,1,1,121,-5.00,left,0.150,363500,363500,364196,696,1,0.00,rehab,0,1
367245,1,1,122,-8.00,left,0.150,365741,365741,-1,-1,0,0.00,rehab,0,1
369737,1,1,123,-5.00,left,0.000,369250,369250,369737,487,1,0.00,rehab,0,1
372536,1,1,124,-5.00,left,0.000,371673,371673,372536,863,1,0.00,rehab,0,1
376323,1,1,125,-8.00,left,0.150,374819,374819,-1,-1,0,0.00,rehab,0,1
378537,1,1,126,-5.00,left,0.000,377882,377882,378537,654,1,0.00,rehab,0,1
382463,1,1,127,-8.00,left,0.000,380960,380960,-1,-1,0,0.00,rehab,0,1
385833,1,1,128,-8.00,left,0.000,384329,384329,-1,-1,0,0.00,rehab,0,1
388242,1,1,129,-5.00,left,0.000,387490,387490,388242,752,1,0.00,rehab,0,1
391667,1,1,130,-8.00,left,0.000,390163,390163,-1,-1,0,0.00,rehab,0,1
394465,1,1,131,-5.00,left,0.000,393839,393839,394465,627,1,0.00,rehab,0,1
398044,1,1,132,-8.00,left,0.000,396540,396540,-1,-1,0,0.00,rehab,0,1
400940,1,1,133,-8.00,left,0.000,399436,399436,-1,-1,0,0.00,rehab,0,1
402819,1,1,134,-5.00,left,0.000,402248,402248,402819,571,1,0.00,rehab,0,1
405590,1,1,135,-8.00,left,0.000,404922,404922,405590,668,1,0.00,rehab,0,1
408639,1,1,136,-8.00,left,0.150,407136,407136,-1,-1,0,0.00,rehab,0,1
410686,1,1,137,-5.00,left,0.000,410101,410101,410686,585,1,0.00,rehab,0,1
412733,1,1,138,5.00,right,0.000,412315,412315,412733,418,1,0.00,right_control,1,0
415991,1,1,139,-5.00,left,0.000,414487,414487,-1,-1,0,0.00,rehab,0,1
418274,1,1,140,-5.00,left,0.000,417717,417717,418274,557,1,0.00,rehab,0,1
421532,1,1,141,-8.00,left,0.000,420029,420029,-1,-1,0,0.00,rehab,0,1
423844,1,1,142,8.00,right,0.000,423454,423454,423844,390,1,0.00,right_control,1,0
426740,1,1,143,-5.00,left,0.000,426099,426099,426740,640,1,0.00,rehab,0,1
430360,1,1,144,-8.00,left,0.000,428856,428856,-1,-1,0,0.00,rehab,0,1
433089,1,1,145,-8.00,left,0.000,431585,431585,-1,-1,0,0.00,rehab,0,1
436166,1,1,146,-5.00,left,0.000,435219,435219,436166,947,1,0.00,rehab,0,1
439591,1,1,147,-8.00,left,0.000,438087,438087,-1,-1,0,0.00,rehab,0,1
442501,1,1,148,-8.00,left,0.000,440997,440997,-1,-1,0,0.00,rehab,0,1
445648,1,1,149,-8.00,left,0.000,444144,444144,-1,-1,0,0.00,rehab,0,1
448683,1,1,150,-8.00,left,0.000,447179,447179,-1,-1,0,0.00,rehab,0,1
451384,1,1,151,-8.00,left,0.000,450869,450869,451384,515,1,0.00,rehab,0,1
454127,1,1,152,-5.00,left,0.000,453292,453292,454127,835,1,0.00,rehab,0,1
457009,1,1,153,-5.00,left,0.150,456578,456578,457009,432,1,0.00,rehab,0,1
459084,1,1,154,-8.00,left,0.150,458499,458499,459084,585,1,0.00,rehab,0,1
